pdf_path,relative_path,top_category,second_category,bytes,last_write_time,full_pypdf_status,full_pypdf_pages,full_pypdf_error,full_pypdf_elapsed_ms,current_exists,review_status,fitz_ok,fitz_pages,fitz_error,review_note
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_문제_20.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_문제_20.pdf,1.민사,기출,842213,2023-03-28T00:08:52,OK,40,,95,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_문제_21.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_문제_21.pdf,1.민사,기출,738662,2023-04-06T22:08:22,OK,40,,223,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_문제_22.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_문제_22.pdf,1.민사,기출,531801,2023-04-06T23:03:04,OK,42,,88,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_채점기준표_13.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_채점기준표_13.pdf,1.민사,기출,464533,2023-03-27T00:34:50,OK,13,,236,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_채점기준표_14.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_채점기준표_14.pdf,1.민사,기출,6960284,2015-03-12T09:37:38,OK,27,,14753,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_채점기준표_15.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_채점기준표_15.pdf,1.민사,기출,308078,2023-04-03T23:48:04,OK,15,,110,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_채점기준표_16.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_채점기준표_16.pdf,1.민사,기출,205469,2023-04-05T22:07:06,OK,12,,109,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_채점기준표_17.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_채점기준표_17.pdf,1.민사,기출,224713,2023-04-06T00:39:46,OK,12,,137,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_채점기준표_18.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_채점기준표_18.pdf,1.민사,기출,210494,2023-04-06T01:12:34,OK,10,,86,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_채점기준표_19.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_채점기준표_19.pdf,1.민사,기출,203900,2023-04-06T17:54:18,OK,13,,127,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_채점기준표_20.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_채점기준표_20.pdf,1.민사,기출,231005,2023-03-28T00:08:26,OK,14,,6873,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_채점기준표_21.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_2차_기록형_채점기준표_21.pdf,1.민사,기출,196826,2023-04-06T22:08:08,OK,14,,159,True,OK,,,,
